Sample_Name,Characteristics:_Organism,Characteristics:_Sex,Factor_Value:_Genotype,Comment:_Genotype_Info,Characteristics:_Age,Characteristics:_diet,Characteristics:_Material_Type,Protocol_REF,Factor_Value:_Spaceflight,Parameter_Value:_Duration,Parameter_Value:_Housing_Temperature,Protocol_REF,Parameter_Value:_Sample_Preservation_Method,Parameter_Value:_Sample_Storage_Temperature
CS_Female_GC_13,Drosophila melanogaster,female,CS,"CantonS, wildtype genetic background for generation of sei ts1 mutant",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Ground Control,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
CS_Female_GC_14,Drosophila melanogaster,female,CS,"CantonS, wildtype genetic background for generation of sei ts1 mutant",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Ground Control,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
CS_Female_GC_15,Drosophila melanogaster,female,CS,"CantonS, wildtype genetic background for generation of sei ts1 mutant",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Ground Control,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
CS_Female_GC_16,Drosophila melanogaster,female,CS,"CantonS, wildtype genetic background for generation of sei ts1 mutant",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Ground Control,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
CS_Female_FLT_29,Drosophila melanogaster,female,CS,"CantonS, wildtype genetic background for generation of sei ts1 mutant",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Space Flight,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
CS_Female_FLT_30,Drosophila melanogaster,female,CS,"CantonS, wildtype genetic background for generation of sei ts1 mutant",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Space Flight,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
CS_Female_FLT_31,Drosophila melanogaster,female,CS,"CantonS, wildtype genetic background for generation of sei ts1 mutant",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Space Flight,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
CS_Female_FLT_32,Drosophila melanogaster,female,CS,"CantonS, wildtype genetic background for generation of sei ts1 mutant",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Space Flight,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
KCNQ370_Female_GC_01,Drosophila melanogaster,female,KCNQ370,"KCNQ mutant, early stop codon, KCNQ K+ channel homolog",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Ground Control,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
KCNQ370_Female_GC_02,Drosophila melanogaster,female,KCNQ370,"KCNQ mutant, early stop codon, KCNQ K+ channel homolog",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Ground Control,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
